version,decision_class,count
v1_baseline,confident_damage,9
v1_baseline,possible_damage,30
v1_baseline,uncertain_conflict,0
v1_baseline,likely_no_damage,805
v1_baseline,insufficient_evidence,151
v2_viirs_dominant,confident_damage,7
v2_viirs_dominant,possible_damage,263
v2_viirs_dominant,uncertain_conflict,0
v2_viirs_dominant,likely_no_damage,313
v2_viirs_dominant,insufficient_evidence,412
v3_weaken_s2_no_damage,confident_damage,30
v3_weaken_s2_no_damage,possible_damage,567
v3_weaken_s2_no_damage,uncertain_conflict,0
v3_weaken_s2_no_damage,likely_no_damage,181
v3_weaken_s2_no_damage,insufficient_evidence,217
v4_reverse_s2,confident_damage,621
v4_reverse_s2,possible_damage,88
v4_reverse_s2,uncertain_conflict,0
v4_reverse_s2,likely_no_damage,144
v4_reverse_s2,insufficient_evidence,142
v5_viirs_only,confident_damage,0
v5_viirs_only,possible_damage,944
v5_viirs_only,uncertain_conflict,0
v5_viirs_only,likely_no_damage,0
v5_viirs_only,insufficient_evidence,51
